learning_step,id,method,server_round,selected,accuracy,loss,train_time,battery_level,charge_speed,util_value,power_value,rewards,power_consumption,cpu,ram,elapsed_time
evaluation,120.0kW,Proposed,7,0,0.9038861392693018,0.0091365408152341,0,100.0,120.0,88.70311587214192,1.5416666666666667,45.1223912694043,0.0,83.4,16.0,3829
evaluation,250.0kW,Proposed,7,0,0.954858812927443,0.0043344208970665,0,100.0,250.0,60.63524978219076,1.0,30.817624891095377,0.0,91.5,16.0,3829
training,1.9kW,Proposed,8,1,0.9298781156539916,0.0045582042075693,592,53.71531800151305,1.9,62.045801660942274,66.05668928334431,64.0512454721433,0.2447408291909832,24.6,16.0,3838
training,2.8kW,Proposed,8,1,0.7828789949417114,0.012972836382687,592,55.60914299051258,2.8,104.3308976473983,44.91883555709175,74.62486660224502,0.2857153430142469,7.9,16.0,3838
training,7.7kW,Proposed,8,1,0.9453538060188292,0.0041737640276551,592,65.78040948197865,7.7,60.34076641963635,16.556561438142857,38.4486639288896,0.2727584730528469,71.8,16.0,3838
training,11.5kW,Proposed,8,0,0.0,0.0,0,73.85046271018888,11.5,0.0,11.229361975386691,5.614680987693347,0.0,83.0,16.0,3838
training,120.0kW,Proposed,8,1,0.484625369310379,0.0419324189424514,592,100.0,120.0,190.03033514293483,1.5416666666666667,95.78600090480074,0.2695211360958524,56.5,16.0,3838
training,250.0kW,Proposed,8,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,91.5,16.0,3838
evaluation,1.9kW,Proposed,8,0,0.9560204433802628,0.0039079417474567,0,54.02354022373527,1.9,57.44993638093826,66.05805027421809,61.75399332757817,0.0,76.3,16.0,4422
evaluation,2.8kW,Proposed,8,0,0.939861641597277,0.0049836258403956,0,56.0633652127348,2.8,64.66483714615731,44.92090285780972,54.79287000198352,0.0,8.1,16.0,4422
evaluation,7.7kW,Proposed,8,0,0.9596972777519988,0.0037838940043002,0,67.02952059308976,7.7,57.453482383710536,16.562668281176126,37.00807533244333,0.0,52.2,16.0,4422
evaluation,11.5kW,Proposed,8,0,0.9587867482010196,0.0040077888406813,0,75.71601826574444,11.5,59.128830885629625,11.23881753094225,35.18382420828594,0.0,76.5,16.0,4422
evaluation,120.0kW,Proposed,8,0,0.9060087301102606,0.0087125012651085,0,100.0,120.0,86.62024410893375,1.5416666666666667,44.08095538780021,0.0,84.2,16.0,4422
evaluation,250.0kW,Proposed,8,0,0.9574208761826674,0.004347828682512,0,100.0,250.0,60.72895972666336,1.0,30.86447986333168,0.0,88.7,16.0,4422
training,1.9kW,Proposed,9,1,0.9311534762382508,0.0044256621040403,591,54.28954896019884,1.9,61.1370723231858,66.0595913853292,63.598331854257495,0.2796422144351465,16.9,16.0,4429
training,2.8kW,Proposed,9,1,0.7838738560676575,0.0131301907822489,591,56.47738244301885,2.8,104.9617328219704,44.92317396892083,74.94245339544561,0.2780676327875189,8.3,16.0,4429
training,7.7kW,Proposed,9,1,0.9457436203956604,0.0040658158250153,591,68.25063207468425,7.7,59.55534258021737,16.56891383673168,38.062128208474526,0.261757472520818,46.8,16.0,4429
training,11.5kW,Proposed,9,0,0.0,0.0,0,77.60393493241111,11.5,0.0,11.248145308720026,5.624072654360013,0.0,76.5,16.0,4429
training,120.0kW,Proposed,9,1,0.5130257606506348,0.039966806769371,591,100.0,120.0,185.5229757223456,1.5416666666666667,93.53232119450612,0.2377535249842083,68.0,16.0,4429
training,250.0kW,Proposed,9,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,88.7,16.0,4429
evaluation,1.9kW,Proposed,9,0,0.9564520643624118,0.0036886252928525,0,54.597771182421056,1.9,55.81459545635728,66.06092142901151,60.9377584426844,0.0,85.5,16.0,5013
evaluation,2.8kW,Proposed,9,0,0.9412627923617082,0.004563617054373,0,56.93160466524107,2.8,61.8799666384365,44.92524405507225,53.40260534675437,0.0,8.1,16.0,5013
evaluation,7.7kW,Proposed,9,0,0.95857863326459,0.0036311652511358,0,69.49974318579535,7.7,56.28204681619037,16.57501939413965,36.428533105165016,0.0,38.6,16.0,5013
evaluation,11.5kW,Proposed,9,0,0.957270990356416,0.0041307397186756,0,79.46949048796667,11.5,60.02895616304672,11.25758489205336,35.64327052755004,0.0,71.9,16.0,5013
evaluation,120.0kW,Proposed,9,0,0.909634171456934,0.0085879322141408,0,100.0,120.0,85.99877799075234,1.5416666666666667,43.77022232870951,0.0,86.2,16.0,5013
evaluation,250.0kW,Proposed,9,0,0.9601411279855226,0.0039701955392956,0,100.0,250.0,58.03173816497056,1.0,29.51586908248528,0.0,86.2,16.0,5013
training,1.9kW,Proposed,10,1,0.9337305426597596,0.0042308261618018,593,54.86372575099391,1.9,59.77617229329344,66.06246254012262,62.91931741670803,0.2854360086639756,21.6,16.0,5021
training,2.8kW,Proposed,10,1,0.7925742864608765,0.0123372636735439,593,57.34820161441773,2.8,101.74308383801365,44.92751516618336,73.33529950209851,0.2709122815581959,8.0,16.0,5021
training,7.7kW,Proposed,10,1,0.9463902115821838,0.0038903483655303,593,70.72448088536677,7.7,58.25606181987085,16.58126494969521,37.41866338478303,0.2648301543724639,72.2,16.0,5021
training,11.5kW,Proposed,10,0,0.0,0.0,0,81.36379604352223,11.5,0.0,11.266912669831138,5.633456334915569,0.0,71.9,16.0,5021
training,120.0kW,Proposed,10,1,0.5082259178161621,0.0416934676468372,593,100.0,120.0,189.4881189995137,1.5416666666666667,95.5148928330902,0.2482043158399697,47.1,16.0,5021
training,250.0kW,Proposed,10,0,0.0,0.0,0,100.0,250.0,0.0,1.0,0.5,0.0,86.2,16.0,5021
evaluation,1.9kW,Proposed,10,0,0.9591735461108772,0.0035015232861042,0,55.17194797321613,1.9,54.38060323346414,66.06379231296549,60.222197773214816,0.0,84.9,16.0,5605
evaluation,2.8kW,Proposed,10,0,0.9495604494881204,0.0045806630514562,0,57.80242383663995,2.8,61.99542577725106,44.929598150929245,53.46251196409016,0.0,8.0,16.0,5605
evaluation,7.7kW,Proposed,10,0,0.9586853005903914,0.0034833864774554,0,71.97359199647788,7.7,55.12488633935826,16.587388638193065,35.856137488775666,0.0,55.1,16.0,5605
evaluation,11.5kW,Proposed,10,0,0.9593032639773966,0.004014569800347,0,83.22935159907779,11.5,59.17883112018677,11.276384197608916,35.22760765889784,0.0,90.7,16.0,5605
evaluation,120.0kW,Proposed,10,0,0.9079014160341756,0.0078335599973797,0,100.0,120.0,82.13486794768411,1.5416666666666667,41.83826730717539,0.0,72.8,16.0,5605
evaluation,250.0kW,Proposed,10,0,0.9604822961061884,0.0039111287333071,0,100.0,250.0,57.598435290111546,1.0,29.299217645055773,0.0,93.3,16.0,5605
training,1.9kW,Random,1,1,0.0,0.0,23,50.01213888888889,1.9,0.0,25.339285714285715,12.669642857142858,0.0,0.0,0.0,30
training,2.8kW,Random,1,1,0.0,0.0,3,50.00233333333333,2.8,0.0,25.5,12.75,0.0,0.0,0.0,30
evaluation,1.9kW,Random,1,0,0.8852566015288232,0.0236115083098411,0,50.141444444444446,1.9,141.213877043539,25.009869444444444,83.11187324399172,0.0,50.1,13.4,275
